zip;name
9962;Erdő út
9962;Hegyalja út
9962;Hunyadi János út
9962;Kossuth Lajos út
9962;Kölcsey Ferenc út
9962;Mátyás út
9962;Móra Ferenc út
9962;Petőfi Sándor út
9962;Rákóczi Ferenc út
9962;Árpád út
9953;Fő utca
9982;Dolányi út
9982;Fő út
9961;Fenyvesalja utca
9961;Fő utca
9961;Fő út
9961;Hegyi utca
9961;Kisgyarmati utca
9961;Kocsis László utca
9961;Kör utca
9961;Sport utca
9961;Teleki utca
9961;Város utca
9961;Óvégi utca
9961;Új utca
9951;Ady Endre utca
9951;Dózsa György utca
9951;Fő utca
9951;Sport utca
9951;Vasúti utca
9954;Alkotmány utca
9954;Gagarin tér
9954;Határőr utca
9954;Nefelejcs utca
9954;Petőfi Sándor utca
9954;Temető út
9954;Táncsics Mihály utca
9954;Vasút utca
9983;Fő út
9955;Alkotmány út
9955;Babits Mihály utca
9955;Dobó István utca
9955;Déryné utca
9955;Fő utca
9955;Kodály Zoltán utca
9955;Móra Ferenc utca
9955;Toldi Miklós utca
9955;Wiederberger Straße
9970;Ady Endre utca
9970;Akác út
9970;Alsó út
9970;Alsópatak utca
9970;Apáti út
9970;Apátistvánfalvai út
9970;Arany János utca
9970;Baross Gábor utca
9970;Bem József utca
9970;Bethlen Gábor utca
9970;Brenner János tér
9970;Deák Ferenc utca
9970;Duxler út
9970;Dózsa utca
9970;Erdei utca
9970;Európa út
9970;Eötvös utca
9970;Fagyöngy utca
9970;Felső utca
9970;Felsőliget út
9970;Felsőmező utca
9970;Felsőpatak út
9970;Felsőszölnöki út
9970;Fenyvesalja utca
9970;Fenyvesalja út
9970;Fenyő utca
9970;Fácános utca
9970;Fürdő utca
9970;Füzesi út
9970;Gyertyános utca
9970;Gárdonyi Géza utca
9970;Haris út
9970;Hegyalja utca
9970;Honvéd utca
9970;Hunyadi János utca
9970;Hétház utca
9970;III. Béla király utca
9970;István király utca
9970;Jókai Mór utca
9970;József Attila utca
9970;Kerfői utca
9970;Kertvárosi utca
9970;Kethelyi út
9970;Kilián utca
9970;Kis utca
9970;Kisfaludy utca
9970;Kossuth Lajos utca
9970;Madách utca
9970;Malom utca
9970;Mathiász Artúr utca
9970;Mikes Kelemen utca
9970;Muskátli út
9970;Május 1. utca
9970;Mária utca
9970;Máriaújfalui út
9970;Mártírok út
9970;Mátyás király utca
9970;Móricz Zsigmond utca
9970;Nefelejcs utca
9970;Nyárfa utca
9970;Parkerdő út
9970;Petőfi utca
9970;Pável Ágoston lakótelep
9970;Radnóti Miklós utca
9970;Rákóczi Ferenc utca
9970;Rózsa Ferenc utca
9970;Sallai Imre utca
9970;Szabadság tér
9970;Szent Erzsébet utca
9970;Szvétecz Ernő út
9970;Széchenyi út
9970;Széll Kálmán tér
9970;Szépvölgyi utca
9970;Templom köz
9970;Tompa Mihály utca
9970;Táncsics utca
9970;Tótfalusi út
9970;Tóth Árpád utca
9970;Vadvirág utca
9970;Vajda János utca
9970;Vakarcs Kálmán utca
9970;Váci Mihály utca
9970;Vörösmarty utca
9970;Wesselényi utca
9970;Weöres Sándor utca
9970;Zrínyi Miklós utca
9970;Zsidai út
9970;Zöld Mező utca
9970;Zöldlomb utca
9970;Árpád utca
9970;Örökzöld utca
9970;Új utca
9970;Űrhajós út
9981;Alvég utca
9981;Andrásszeri utca
9981;Belsőszeri utca
9981;Farkasfai út
9981;Fővég utca
9981;Hegyi utca
9981;Nyíres utca
9953;Arany János utca
9953;Erdei utca
9953;Fő utca
9953;Medvesi utca
9953;Petőfi utca
9953;Vasszentmihályi völgyhíd
9953;Zrínyi utca
9746;Arany János utca
9746;Béke utca
9746;Kossuth Lajos utca
9746;Petőfi Sándor utca
9746;Platánsor
9746;Semmelweis tér
9746;Szombathelyi utca
9746;Táncsics Mihály utca
9746;Vörösmarty utca
9771;Ady Endre utca
9771;Akacs Mihály utca
9771;Arany János utca
9771;Bem József utca
9771;Berzsenyi Dániel utca
9771;Boglárka utca
9771;Dózsa György utca
9771;Hunyadi János utca
9771;Héraháza utca
9771;Ipari utca
9771;Kossuth Lajos utca
9771;Margaréta utca
9771;Petőfi Sándor utca
9771;Pipitér utca
9771;Radnóti Miklós utca
9771;Rákóczi Ferenc utca
9771;Táncsics Mihály utca
9771;Vadvirág utca
9771;Vasút utca
9771;Váci Mihály utca
9771;Vörösmarty Mihály utca
9771;Weöres Sándor utca
9771;Zrínyi Ilona utca
9771;Új utca
9752;Bárdos utca
9752;Fő utca
9752;Új utca
9792;Dózsa György utca
9792;Erzsébet utca
9792;József Attila utca
9792;Petőfi Sándor utca
9792;Rohonczi utca
9792;Rákóczi Ferenc utca
9792;Szent István utca
9792;Úttörő utca
9764;Béri Balogh Ádám utca
9764;Hunyadi János út
9764;István király utca
9764;Petőfi Sándor utca
9764;Rákóczi Ferenc utca
9764;Árpád tér
9791;Fiumei utca
9791;Kilátó utca
9791;Lovas utca
9791;Pinkafői utca
9791;Szabadság utca
9791;Tölgyfa utca
9794;Almás út
9794;Arany János utca
9794;Jókai Mór utca
9794;József Attila utca
9794;Néphadsereg utca
9794;Petőfi Sándor utca
9794;Rakodó út
9794;Rozmaring utca
9794;Vadrózsa utca
9721;Ady Endre utca
9721;Alkotmány utca
9721;Apponyi Albert utca
9721;Arany János utca
9721;Bem utca
9721;Berzsenyi Dániel utca
9721;Béke utca
9721;Deák Ferenc utca
9721;Dr. Szerdahelyi Elek utca
9721;Dózsa utca
9721;Gyöngyös utca
9721;Hunyadi János út
9721;Ifjúság utca
9721;Ipar út
9721;Kossuth utca
9721;Kőszegi út
9721;Miszori Zoltán tér
9721;Petőfi utca
9721;Posta út
9721;Savaria út
9721;Szent Flórián tér
9721;Szentegyház utca
