zip;name
9600;Sársziget utca
9600;Sótonyi utca
9600;Temető utca
9600;Tilosalja utca
9600;Tinódi Lantos Sebestyén utca
9600;Tizenháromváros utca
9600;Tomori Pál utca
9600;Tompa Mihály utca
9600;Tubize tér
9600;Tulipán utca
9600;Tölgyfa utca
9600;Tüskési utca
9600;Ungvár utca
9600;Uzsoki utca
9600;Vadkert körút
9600;Vadkert utca
9600;Világos utca
9600;Vitnyédi István utca
9600;Vágóhíd utca
9600;Várkerület
9600;Vásár tér
9600;Vöröskavicsos utca
9600;Vörösmarty utca
9600;Zrínyi Miklós utca
9600;Zuhogó utca
9600;Ágfalva utca
9600;Árpád utca
9600;Óvár utca
9600;Újhegy utca
9600;Újmajor utca
9600;Újsziget utca
9608;0111/3. számú Eszti út
9608;048. számú út
9608;Diófa utca
9608;Mátyás király utca
9608;Orgona utca
9608;Rábasömjéni utca
9608;Sport utca
9608;Szent Imre herceg utca
9608;egykori Sárvár - Felsőlászló vasútvonal
9608;Ölbői utca
9609;Balogh Ádám utca
9609;Lánkapuszta
9609;Magasházi út
9609;Posta utca
9609;Vak Bottyán utca
9609;Víztorony köz
9681;Ady Endre utca
9681;Béke utca
9681;Fő utca
9681;Hámán Kató utca
9681;József Attila utca
9681;Kossuth Lajos utca
9681;Káldi út
9681;Petőfi Sándor utca
9681;Táncsics Mihály utca
9662;Dózsa tér
9662;Hunyadi utca
9662;Ifjúság utca
9662;Kossuth utca
9662;Rákóczi utca
9662;Soproni út
9651;Ady Endre utca
9651;Berzsenyi utca
9651;Bezerédi utca
9651;Béke utca
9651;Dobó Katalin utca
9651;Dózsa György utca
9651;Jókai utca
9651;József Attila utca
9651;Kossuth Lajos utca
9651;Petőfi Sándor utca
9651;Rákóczi Ferenc utca
9651;Szelestey László utca
9651;Szentivánfa utca
9661;Béke utca
9661;Kossuth Lajos utca
9661;Markusovszky Lajos utca
9661;Petőfi Sándor utca
9661;Rákóczi Ferenc utca
9674;0565. számú út
9674;084. számú út
9674;Jókai utca
9674;József Attila utca
9674;Kossuth utca
9674;Petőfi utca
9674;Ódorfai utca
9665;Ady Endre utca
9665;Fő utca
9665;Petőfi utca
9665;Vasút utca
9552;Dózsa György utca
9552;Hegyi utca
9552;Kossuth Lajos utca
9552;Petőfi Sándor utca
9552;Vásár tér
9635;Ady Endre utca
9635;Jókai Mór utca
9635;Kossuth Lajos utca
9635;Petőfi Sándor utca
9635;Rákóczi Ferenc utca
9621;Ady Endre utca
9621;Béke utca
9621;Dr. Hans Messer utca
9621;Dózsa György utca
9621;Fő utca
9621;Harmat József utca
9621;József Attila utca
9621;Kossuth Lajos utca
9621;Mátyás király utca
9621;Petőfi Sándor utca
9621;Sárvári út
9621;Tó utca
9621;Új utca
9842;Borhordó út
9842;Béke utca
9842;Csapás utca
9842;Csurgó utca
9842;Dózsa György utca
9842;Hársfa utca
9842;Jókai Mór utca
9842;József Attila utca
9842;Katonák útja
9842;Kishegy utca
9842;Kossuth Lajos utca
9842;Petőfi Sándor utca
9842;Táncsics Mihály utca
9842;Öreghegy utca
9811;Béke utca
9811;Dózsa György utca
9811;Jókai utca
9811;Kossuth utca
9811;Petőfi Sándor utca
9811;Petőfi utca
9811;Rákóczi utca
9811;Táncsics utca
9811;Új élet utca
9831;Alsóhegy utca
9831;Arany János utca
9831;Béke utca
9831;Doroghegy utca
9831;Hegy utca
9831;József Attila utca
9831;Kossuth Lajos utca
9831;Mindszenty József utca
9831;Petőfi Sándor utca
9831;Rákóczi Ferenc utca
9831;Tilaji utca
9831;Új utca
9833;Bejárat
9833;Kossuth Lajos utca
9833;Petőfi Sándor utca
9833;Rákóczi Ferenc utca
9834;Arany János utca
9834;Fő utca
9834;Malom-út
9834;Petőfi Sándor utca
9834;Potypusztai utca
9836;Dózsa György utca
9836;Kossuth Lajos utca
9836;Petőfi Sándor utca
9836;Rákóczi Ferenc utca
9684;Bem József utca
9684;Dózsa György utca
9684;Hegy utca
9684;Hámán Kató utca
9684;Kossuth Lajos utca
9684;Petőfi Sándor utca
9684;Rózsa Ferenc utca
9684;Újtelep utca
9813;Béke utca
9813;Csengő utca
9813;Dózsa György utca
9813;Honvéd utca
9813;Horgos utca
9813;Petőfi Sándor utca
9813;Szabadság utca
9813;Sárvíz utca
9813;Vasvári utca
9813;Vera-part
9821;Balogh Ádám utca
9821;Béke utca
9821;Béri Balogh Ádám utca
9821;Hegy utca
9821;Rákóczi Ferenc utca
9821;Sport utca
9821;Vár utca
9821;Ótemető utca
9821;Új Élet utca
9821;Béke utca
9821;Engel-föld-dűlő
9821;Táncsics utca
9821;Vaskapu
9821;Vasvári sánc tanösvény
9841;Ady Endre utca
9841;Béke utca
9841;Esze Tamás utca
9841;Jókai Mór utca
9841;Kisfaludy utca
9841;Kossuth Lajos utca
9841;Petőfi Sándor utca
9835;Dózsa György utca
9835;Kossuth Lajos utca
9835;Rákóczi Ferenc utca
9832;Béke utca
9832;Dózsa György utca
9832;Hervadtfa utca
9832;Kossuth Lajos utca
9832;Petőfi Sándor utca
9832;Szabadság utca
9824;Ady Endre utca
9824;Béke utca
9824;József Attila utca
9824;Kossuth Lajos utca
9824;Kölcsey Ferenc utca
9824;Petőfi Sándor utca
9824;Rákóczi Ferenc utca
9824;Széchenyi István utca
9824;Zrínyi Miklós utca
9825;Borhordó út
9825;Kossuth utca
9825;Molnár Antal utca
9825;Petőfi utca
9825;Rákóczi utca
9825;Római katonák útja
9825;oszkói kör
9825;Új utca
9826;Dózsa György utca
9826;Hunyadi utca
9826;Kossuth Lajos utca
9826;Szőlőhegy pincesor
9826;Vasvári Pál utca
9826;Vasvári utca
9823;Kossuth Lajos utca
9823;Petőfi Sándor utca
9823;Petőfi utca
9823;Római katonák útja
9776;Béke utca
9776;Dózsa György utca
9776;Festetics György utca
9776;Horgász utca
