zip;name
7720;Bem utca
7720;Bodzás-völgy
7720;Bodzás-völgy (Sipsa-árok)
7720;Dombay utca
7720;Dózsa György utca
7720;Entz Béla utca
7720;Erzsébeti utca
7720;Európa tér
7720;Fenyő sor
7720;Fáy András utca
7720;Fülep Lajos utca
7720;Gesztenyési út
7720;Gyenes Tamás utca
7720;Gászli
7720;Hegedűs Imre utca
7720;Honvéd utca
7720;Ipartelepi út
7720;Iskola utca
7720;Jókai Mór utca
7720;József Attila utca
7720;Kis Gászli
7720;Kodolányi János utca
7720;Kollégium köz
7720;Kossuth Lajos utca
7720;Kossuth tér
7720;Kálvin köz
7720;Kálvin utca
7720;Külső tanya
7720;Liszt Ferenc utca
7720;Lőrinc kútja utca
7720;Magyar köz
7720;Magyar tér
7720;Mecsekkörnyék utca
7720;Mosókútkörnyék utca
7720;Munkácsy Mihály utca
7720;Nagypalli út
7720;Nap utca
7720;Nefelejcs utca
7720;November 29. utca
7720;Pannonpharma út
7720;Patak utca
7720;Petőfi Sándor utca
7720;Pécsi út
7720;Radnóti Miklós utca
7720;Rock utca
7720;Rákóczi Ferenc utca
7720;Szabadság utca
7720;Szent Gellért utca
7720;Szent István utca
7720;Szentháromság tér
7720;Szártetői út
7720;Széchenyi utca
7720;Szőlő utca
7720;Sárgarigó dűlő
7720;Tavasz utca
7720;Temető utca
7720;Templom utca
7720;Táncsics utca
7720;Vak Béla utca
7720;Vasút utca
7720;Vár utca
7720;Várkert köz
7720;Witt János utca
7720;Zengő köz
7720;Zengő utca
7720;Zengővárkonyi utca
7661;Fő utca
7720;Ady Endre utca
7720;Arany János utca
7720;Bolondúti viadukt
7720;Dóri út
7720;Jókai Mór utca
7720;Kossuth Lajos utca
7720;Rockenbauer Pál utca
7720;Réka-völgy
7720;Szabadság utca
7720;Zrínyi Miklós utca
7695;Döngölt-árok
7695;Fő utca
7695;Skóciai Szent Margit út
7695;Béke utca
7695;Hunyadi utca
7695;Kossuth Lajos gasse
7695;Kossuth utca
7695;Liszt Ferenc utca
7695;Meszesvölgy utca
7695;Petőfi Sándor utca
7695;Rákóczi utca
7695;Zrínyi utca
7841;Petőfi Sándor utca
7834;Hunyadi János utca
7834;Hősök tere
7834;Ifjúság utca
7834;Iskola utca
7834;Kis utca
7834;Kossuth Lajos utca
7834;Mezőszél utca
7834;Petőfi Sándor utca
7834;Rádfai út
7834;Rákóczi Ferenc utca
7834;Szabadság utca
7834;Szőlő utca
7834;Zrínyi Miklós utca
7834;Óvoda utca
7841;Szabadság utca
7838;Fő utca
7966;Kossuth Lajos utca
7966;Körcsönyepuszta
7966;Vasút utca
7836;Arad utca
7836;Kossuth utca
7836;Új utca
7964;Arany János utca
7964;Dózsa György utca
7964;Kossuth Lajos utca
7964;Petőfi Sándor utca
7964;Szabadság utca
7967;Arany János utca
7967;Fő utca
7967;Kossuth Lajos utca
7967;Petőfi Sándor utca
7967;Vasút utca
7960;Kossuth Lajos utca
7960;Petőfi Sándor utca
7960;Rákóczi Ferenc utca
7967;Petőfi Sándor utca
7967;Révfalu utca
7960;Kossuth Lajos utca
7960;Petőfi Sándor utca
7960;Rákóczi Ferenc utca
7960;Zrínyi Miklós utca
7968;Csendes utca
7968;Dráva utca
7968;Erdő utca
7968;Fő utca
7968;Hunyadi utca
7968;Ifjúság utca
7968;Kossuth utca
7968;Rákóczi utca
7968;Szabadság utca
7968;Szent László utca
7968;Tábor utca
7968;Zrínyi utca
7954;Fő utca
7954;Új sor
7837;Egerszeg utca
7837;Kolozsvár utca
7837;Monyorósd utca
7838;Petőfi Sándor utca
7838;Rákóczi Ferenc utca
7838;Vörösmarty Mihály utca
7839;Rákóczi Ferenc utca
7954;Petőfi utca
7841;Dráva utca
7841;Horgásztó
7841;Kossuth utca
7841;Szabadság utca
7841;Széchenyi István utca
7958;Kiss Géza utca
7958;Petőfi Sándor utca
7841;Kossuth Lajos utca
7841;Kossuth utca
7841;Petőfi utca
7841;Rákóczi utca
7838;Fő utca
7954;Petőfi Sándor utca
7954;Fő utca
7954;Újsor utca
7967;Fő utca
7960;Kossuth Lajos utca
7960;Petőfi Sándor utca
7838;Fő utca
7957;Rákóczi Ferenc utca
7838;Dózsa György utca
7838;Kossuth Lajos utca
7838;Petőfi Sándor utca
7838;Arany János utca
7838;Kossuth Lajos utca
7838;Petőfi Sándor utca
7960;Ady Endre utca
7960;Aradi utca
7960;Arany János utca
7960;Batthyány utca
7960;Bodonyi utca
7960;Carolina tér
7960;Carolina utca
7960;Cserfa utca
7960;Deák Ferenc utca
7960;Diófa utca
7960;Domb utca
7960;Dombalja utca
7960;Dráva utca
7960;Déryné utca
7960;Dózsa György utca
7960;Erdély utca
7960;Erkel Ferenc utca
7960;Fürdő utca
7960;Hunyadi tér
7960;Ifjúság utca
7960;Jókai Mór utca
7960;József Attila utca
7960;Kiss Géza utca
7960;Kolozsvári utca
7960;Korongi tér
7960;Kossuth Lajos utca
7960;Kölcsey Ferenc utca
7960;Köztársaság tér
7960;Malom utca
7960;Mátyás király utca
7960;Nefelejcs utca
7960;Ormányság utca
7960;Petőfi Sándor utca
7960;Radnóti Miklós utca
7960;Rákóczi utca
7960;Rózsa utca
7960;Sport utca
7960;Széchenyi utca
7960;Süttő Ignác utca
7960;Vadvirág utca
7960;Vasút utca
7960;Vár utca
7960;Váralja utca
7960;Zrínyi utca
7960;Árpád utca
7960;Édesanyák útja
7841;Kossuth Lajos utca
7841;Rózsa Ferenc utca
7960;Kossuth Lajos utca
7960;Petőfi Sándor utca
7834;Kossuth utca
7834;Rákóczi utca
7838;Arany János utca
7838;Batthyány utca
7838;Dráva utca
7838;Dózsa György utca
7838;Gyöngyvirág utca
7838;Haraszti utca
7838;Ifjúság utca
7838;Iskola utca
7838;Jókai utca
7838;Kodolányi tér
7838;Kolozsvári utca
7838;Kossuth Lajos utca
7838;Móricz Zsigmond utca
7838;Nefelejcs utca
7838;Orgona utca
