zip;name
5471;Régivásártér utca
5471;Rózsa utca
5471;Szabadság tér
5471;Szabolcska köz
5471;Széchenyi István utca
5471;Sárköz utca
5471;Tabán utca
5471;Tiszavirág utca
5471;Táncsics Mihály utca
5471;Vörösmarty utca
5471;Zöldfa utca
5471;Álmos utca
5471;Árpád utca
5471;Árvíz út
5471;Új utca
5474;Ady Endre utca
5474;Alpári utca
5474;Arany János utca
5474;Attila utca
5474;Bagaméri Lajos utca
5474;Bajcsy-Zsilinszky utca
5474;Bethlen Gábor utca
5474;Bocskai utca
5474;Béke utca
5474;Damjanich utca
5474;Deák Ferenc utca
5474;Dózsa György utca
5474;Fő út
5474;Hunyadi János utca
5474;Kinizsi Pál utca
5474;Kossuth Lajos utca
5474;Kálvin János utca
5474;Május 1. utca
5474;Petőfi Sándor utca
5474;Rákóczi Ferenc utca
5474;Szabadság utca
5474;Széchenyi utca
5474;Szőlőhegyi utca
5474;Zrínyi Miklós utca
5474;Zsák utca
5474;Árpád utca
5451;Ady Endre út
5451;Arany János sor
5451;Aulich út
5451;Bacsó Béla út
5451;Bajcsy-Zsilinszky út
5451;Balogh Ádám út
5451;Bartók Béla út
5451;Batthyány Lajos út
5451;Bem József út
5451;Bercsényi Miklós sor
5451;Bocskai István út
5451;Budai Nagy Antal út
5451;Damjanich út
5451;Deák Ferenc út
5451;Dózsa György út
5451;Erdő sor
5451;Erkel Ferenc út
5451;Esze Tamás utca
5451;Harangzugi Belső kertsor
5451;Hunyadi Mátyás út
5451;II. Rákóczi Ferenc út
5451;Irányi Dániel utca
5451;Juhász Béni út
5451;Jókai Mór utca
5451;József Attila sor
5451;Keskeny út
5451;Kiss Ernő út
5451;Kiss János sor
5451;Kodály Zoltán út
5451;Kossuth Lajos tér
5451;Kossuth Lajos út
5451;Kölcsey Ferenc út
5451;Köztársaság út
5451;Liszt Ferenc út
5451;Madách Imre út
5451;Martinovics utca
5451;Móricz Zsigmond út
5451;Oláh Antal út
5451;Papp András utca
5451;Petőfi Sándor út
5451;Pusztabábockai út
5451;Rózsa út
5451;Szabadság út
5451;Széchenyi István út
5451;Thököly Imre út
5451;Tompa Mihály út
5451;Táncsics Mihály út
5451;Vasvári Pál út
5451;Veresházi út
5451;Vig Imre út
5451;Vágóhíd út
5451;Vörösmarty Mihály út
5451;Álmos utca
5451;Árpád út
5411;Ady Endre út
5411;Almásy tér
5411;Arany János út
5411;Béke út
5411;Hétvezér sétány
5411;Jókai Mór út
5411;Kossuth utca
5411;Október 6. út
5411;Ond vezér út
5411;Petőfi út
5411;Szent István út
5411;Szent László út
5411;Széchenyi István út
5411;Árpád út
5452;Ady Endre út
5452;Arany János út
5452;Dózsa György út
5452;Honvéd út
5452;Hupadűlő VII.
5452;Kossuth út
5452;Kun út
5452;Mező út
5452;Munkácsy út
5452;Petőfi út
5452;Rozmaring út
5452;Rákóczi út
5452;Rókalyukasdűlő IV.
5452;Rókalyukasdűlő VIII.
5452;Szabadság út
5452;Szent István út
5452;Szécshenyi út
5452;Templom tér
5452;Zöldfa út
5453;József Attila út
5453;Kossuth Lajos út
5453;Köztársaság út
5453;Mártírok út
5453;Petőfi út
5453;Táncsics Mihály út
5400;Ady Endre utca
5400;Akác utca
5400;Alkotmány tér
5400;Alkotmány utca
5400;Alma utca
5400;Alsórésziregálé
5400;Andrássy utca
5400;Apród utca
5400;Arany János utca
5400;Babits Mihály utca
5400;Badár Balázs utca
5400;Bajcsy-Zsilinszky utca
5400;Bajnok utca
5400;Balassa Bálint utca
5400;Balogh Ádám utca
5400;Bartók Béla utca
5400;Batsányi János utca
5400;Bem utca
5400;Benkő Gyula utca
5400;Bercsényi Miklós utca
5400;Berek utca
5400;Bezerédi Pál út
5400;Bimbó utca
5400;Bodzáskert utca
5400;Bolyai János utca
5400;Borsos Károly utca
5400;Borsó utca
5400;Budai Nagy Antal utca
5400;Bálvány utca
5400;Bástya utca
5400;Béke utca
5400;Búza utca
5400;Cs Wagner József utca
5400;Cs. Wagner József utca
5400;Csali köz
5400;Csalogány utca
5400;Cserepes utca
5400;Csillag utca
5400;Csokonai utca
5400;Damjanich utca
5400;Daru utca
5400;Deák Ferenc utca
5400;Diófa utca
5400;Dob utca
5400;Dobó István utca
5400;Dohány utca
5400;Dugovics Titusz utca
5400;Dévér utca
5400;Dózsa György út
5400;Egri József utca
5400;Előd utca
5400;Eper utca
5400;Erkel Ferenc utca
5400;Esze Tamás utca
5400;Eötvös utca
5400;Faragó Bálint utca
5400;Fekete István utca
5400;Felső Vízközi utca
5400;Felsőrészi nyomás
5400;Frankel Leó utca
5400;Futó utca
5400;Fóti utca
5400;Földvári út
5400;Fürdő utca
5400;Füzes utca
5400;Fűzfa utca
5400;Garibaldi utca
5400;Gábor Áron utca
5400;Gárdonyi Géza utca
5400;Gát utca
5400;Gödör utca
5400;Hajnal utca
5400;Hajó utca
5400;Határ út
5400;Hercegasszony útja
5400;Homoki Nagy István utca
5400;Honvéd utca
5400;Horog utca
5400;Huba utca
5400;Hunyadi utca
5400;I. utca
5400;II. utca
5400;III. utca
5400;IV. utca
5400;IX. utca
5400;Ifjúsági lakótelep
5400;Irányi Dániel utca
5400;Jelinek Károly utca
5400;Jázmin utca
5400;Jókai Mór utca
5400;József Attila utca
5400;Kakas utca
5400;Katona József utca
5400;Kender utca
5400;Kerekes utca
5400;Kert utca
5400;Kertész utca
5400;Keszeg utca
5400;Kinizsi Pál utca
5400;Kisfaludy utca
5400;Kiss István utca
5400;Kiss János utca
5400;Klapka tábornok utca
5400;Kodály Zoltán utca
5400;Koltói Anna utca
5400;Komló utca
5400;Komp utca
5400;Korsós utca
5400;Korányi Frigyes utca
5400;Kossuth Lajos utca
5400;Kákás utca
5400;Kálvin tér
5400;Kápolnás dűlő
5400;Kárász utca
5400;Kávási Sándor utca
5400;Kölcsey Ferenc utca
5400;Könyves Kálmán utca
5400;Köztársaság utca
5400;Kürt utca
5400;Kőrösi Csoma Sándor utca
5400;Ladik köz
5400;Laktanya utca
