zip;name
9071;Bem József utca
9071;Béke utca
9071;Csűdfű utca
9071;Damjanich János utca
9071;Deák Ferenc utca
9071;Dr. Kollárszky Miklós utca
9071;Duna sor
9071;Dózsa György út
9071;Fenyő utca
9071;Irányi Dániel utca
9071;Jókai Mór utca
9071;Kereszt köz
9071;Kert utca
9071;Kikötő utca
9071;Kossuth Lajos utca
9071;Kökörcsin utca
9071;Madársisak utca
9071;Madárút
9071;Petőfi Sándor utca
9071;Plaszkonka lejáró
9071;Rákóczi Ferenc utca
9071;Tölgy utca
9071;Vak Bottyán utca
9071;Vörösmarty Mihály utca
9071;Zrínyi Miklós utca
9071;Árpád utca
9141;Ady Endre utca
9141;Arany János utca
9141;Erdősor utca
9141;Gyöngyvirág utca
9141;Győri út
9141;Ibolya utca
9141;Ifjúság utca
9141;József Attila utca
9141;Kastély tér
9141;Kökény utca
9141;Külső Győri út
9141;Nefelejcs utca
9141;Petőfi Sándor utca
9141;Rába utca
9141;Rét utca
9141;Rózsa utca
9141;Sport utca
9141;Széchenyi István utca
9141;Vasút sor
9123;Akácfa utca
9123;Baki utca
9123;Béke utca
9123;Diófa utca
9123;Dombszer utca
9123;Dózsa utca
9123;Fő utca
9123;Hegyalja utca
9123;Kapus utca
9123;Kertalja utca
9123;Kis utca
9123;Kisfaludy utca
9123;Kossuth utca
9123;Levendula utca
9123;Liszt Ferenc utca
9123;Orgona utca
9123;Petőfi utca
9123;Pitypang utca
9123;Rákóczi utca
9123;Rózsa utca
9123;Teleki utca
9123;Tó utca
9123;Öreghegy utca
9123;Újtelep utca
9062;Arany János utca
9062;Bárány köz
9062;Béke utca
9062;Duna utca
9062;Győri út
9062;Hunyadi utca
9062;Háromág utca
9062;Jókai utca
9062;Kismező utca
9062;Kossuth utca
9062;Petőfi Sándor utca
9062;Rákóczi Ferenc utca
9062;Szavai utca
9062;Táborhely utca
9062;Töltéssor
9062;Árpád út
9062;Új utca
9113;Ady Endre utca
9113;Arany János utca
9113;Attila utca
9113;Bajcsy-Zsilinszky utca
9113;Bercsényi utca
9113;Bábota dűlő
9113;Cseralja utca
9113;Deák Ferenc utca
9113;Dobó utca
9113;Dózsa György utca
9113;Győri út
9113;Honvéd utca
9113;Hunyadi utca
9113;Kelta utca
9113;Kossuth Lajos utca
9113;Patonai út
9113;Pere utca
9113;Petőfi Sándor utca
9113;Rákóczi utca
9113;Sokorói utca
9113;Szent István utca
9113;Szent László utca
9113;Széchenyi utca
9113;Temető utca
9113;Táncsics utca
9113;Téti utca
9113;Tószer utca
9113;Wesselényi utca
9113;Zrínyi Miklós utca
9113;Árpád utca
9184;Ady Endre utca
9184;Arany János utca
9184;Duna utca
9184;Dózsa György utca
9184;Fő út
9184;Győri utca
9184;Hunyadi utca
9184;Ifjúság utca
9184;József Attila utca
9184;Kertes utca
9184;Kossuth tér
9184;Kunszigeti út
9184;Mecséri út
9184;Rákóczi Ferenc utca
9184;Szent István utca
9184;Széchenyi István utca
9184;Táncsics Mihály Utca
9184;Vörösmarty Mihály utca
9184;Zöldmező utca
9097;Fő utca
9097;Hunyadi utca
9097;Kis Lugas köz
9097;Kis Rudi köz
9097;Micsurin köz
9097;Nyalkai utca
9097;Petőfi Sándor utca
9097;Rétalapi utca
9097;Sport utca
9154;Akácos utca
9154;Csepete út
9154;Domb utca
9154;Festő utca
9154;Fő út
9154;Gergely utca
9154;Hársfa utca
9154;Jókai Mór utca
9154;József Attila utca
9154;Kiserdő utca
9154;Kiss utca
9154;Kossuth Lajos tér
9154;Kossuth utca
9154;Liliom utca
9154;Nefelejcs utca
9154;Orgona utca
9154;Patkó utca
9154;Petőfi Sándor utca
9154;Rizling utca
9154;Rábca utca
9154;Rákóczi Ferenc utca
9154;Rózsavölgy utca
9154;Sport utca
9154;Szabadság tér
9154;Szeszfőzde utca
9154;Szőlőskert utca
9154;Sárgavölgy utca
9154;Toldi Miklós utca
9154;Táncsics Mihály utca
