zip;name
8315;Csillag köz
8315;Csillag utca
8315;Csokonai köz
8315;Csokonai utca
8315;Csányi László utca
8315;Csárda utca
8315;Címer köz
8315;Darnay utca
8315;Diási köz
8315;Diófás utca
8315;Diótörő utca
8315;Dobó István utca
8315;Dobó köz
8315;Domboldal utca
8315;Eperjes köz
8315;Erdőalja köz
8315;Erdősor utca
8315;Erzsébet köz
8315;Erzsébet utca
8315;Esze Tamás utca
8315;Eszes László utca
8315;Faludi köz
8315;Faludi utca
8315;Fazekas utca
8315;Felső utca
8315;Fenyves utca
8315;Fenyő utca
8315;Festetics György utca
8315;Forrás utca
8315;Fürdő utca
8315;Galagonya utca
8315;Georgikon köz
8315;Gyöngyvirág utca
8315;Gödörházy utca
8315;Hajnal köz
8315;Hajnal utca
8315;Harmat köz
8315;Harmat utca
8315;Határ köz
8315;Határ utca
8315;Hernád Tibor utca
8315;Homoki köz
8315;Homoki utca
8315;Hunyadi János utca
8315;Hunyadi köz
8315;Ibolya utca
8315;Iparosok útja
8315;Iskola utca
8315;Jókai köz
8315;Jókai utca
8315;József Attila utca
8315;Kamondi utca
8315;Kapernaum utca
8315;Katica köz
8315;Kereskedők útja
8315;Kinizsi Pál utca
8315;Kisfaludy utca
8315;Kossuth Lajos utca
8315;Kárpáti korzó
8315;Kárpáti utca
8315;Kökény utca
8315;Kümell köz
8315;Kümell utca
8315;Lendvay János utca
8315;Liliom utca
8315;Lőtéri utca
8315;Lőtéri út
8315;Madách utca
8315;Malom utca
8315;Malomkő utca
8315;Mandulás utca
8315;Margaréta utca
8315;Meleghegyi köz
8315;Meleghegyi utca
8315;Meredély utca
8315;Málna köz
8315;Mély út
8315;Móra Ferenc utca
8315;Napfény utca
8315;Nefelejcs utca
8315;Nyírfa utca
8315;Oppel Imre sétány
8315;Pacsirta utca
8315;Palkó Sándor sétány
8315;Panoráma utca
8315;Park utca
8315;Paulini Béla köz
8315;Paulini Béla utca
8315;Pethő László utca
8315;Petőfi Sándor utca
8315;Pici utca
8315;Pilikáni köz
8315;Pilikáni utca
8315;Pince köz
8315;Pince utca
8315;Rigó utca
8315;Rózsa utca
8315;Sellő köz
8315;Som köz
8315;Strand utca
8315;Szent Erzsébet út
8315;Szent Ilona utca
8315;Szent István utca
8315;Szoroshadi utca
8315;Széchenyi István utca
8315;Szőke utca
8315;Szőlőhegyi út
8315;Ságvári köz
8315;Tanácsház utca
8315;Toldi Miklós köz
8315;Toldi Miklós utca
8315;Tulipán utca
8315;Tücsökdomb utca
8315;Tüskéslapi utca
8315;Virág köz
8315;Virág utca
8315;Váci Mihály utca
8315;Víz János utca
8315;Vörösmarty köz
8315;Vörösmarty utca
8315;Zalay köz
8315;Zsák utca
8315;Zámor utca
8762;Béke tér
8762;Csányi utca
8762;Hadnagy utca
8762;Hegyi utca
8762;Kisfaludy utca
8762;Kossuth Lajos utca
8380;Ady Endre utca
8380;Akác utca
8380;Arany János utca
8380;Attila utca
8380;Balassi Bálint utca
8380;Bartók Béla utca
8380;Bem József utca
8380;Berzsenyi Dániel utca
8380;Budai Nagy Antal utca
8380;Búzakalász utca
8380;Büki utca
8380;Csokonai utca
8380;Deák Ferenc tér
8380;Dombföldi utca
8380;Dombi sétány
8380;Dr. Babócsay utca
8380;Dr. Korányi Frigyes utca
8380;Dr. Mikolits Ferenc utca
8380;Dr. Moll Károly tér
8380;Dr. Schulhof Frigyes sétány
8380;Dr. Schulhoff Vilmos sétány
8380;Dózsa György utca
8380;Effinger Károly utca
8380;Egregyi utca
8380;Erzsébet királyné utca
8380;Fecske utca
8380;Fenyő utca
8380;Fisli József köz
8380;Fortuna utca
8380;Gersei Pethő utca
8380;Gróf Festetics György tér
8380;Gyöngyvirág köz
8380;Helikon utca
8380;Honvéd utca
8380;Hunyadi köz
8380;Hunyadi utca
8380;Ifj. Reischl Vencel utca
8380;Jókai utca
8380;József Attila utca
8380;Katona József utca
8380;Kisfaludy utca
8380;Kodály Zoltán utca
8380;Kossuth Lajos utca
8380;Kölcsey Ferenc utca
8380;Lóczy Lajos köz
8380;Lótuszvirág utca
8380;Madách köz
8380;Madách utca
8380;Magyar utca
8380;Martinovics utca
8380;Mikes Kelemen utca
8380;Móricz Zsigmond utca
8380;Nagy Imre utca
8380;Nagyparkoló tér
8380;Nyírfa utca
8380;Park utca
8380;Petőfi Sándor utca
8380;Rudifürdő köz
8380;Rákóczi utca
8380;Római utca
8380;Rózsa köz
8380;Semmelweis utca
8380;Sport utca
8380;Sugár köz
8380;Sugár utca
8380;Szabó Lőrinc utca
8380;Szent András utca
8380;Széchenyi utca
8380;Tavirózsa utca
8380;Templom köz
8380;Tölgyfa utca
8380;Vajda Ákos utca
8380;Veres Péter utca
8380;Váci Mihály utca
8380;Vörösmarty utca
8380;Zrínyi Miklós utca
8380;Árpád utca
8354;Dózsa György utca
8354;Hévízi utca
8354;Kisfaludy Sándor utca
8354;Kossuth Lajos utca
8354;Nádor utca
8354;Petőfi Sándor utca
8354;Szent Anna tér
8354;Vashegyalja utca
