zip;name
2081;Rózsa köz
2081;Rózsa utca
2081;Somlyó köz
2081;Somlyó utca
2081;Szarkaláb köz
2081;Szent Erzsébet köz
2081;Szent István király köz
2081;Szent István király útja
2081;Szent László király útja
2081;Szállás köz
2081;Szállás utca
2081;Szántói utca
2081;Széchenyi köz
2081;Széchenyi utca
2081;Tamási Áron utca
2081;Temető utca
2081;Templom tér
2081;Tompa Mihály utca
2081;Tábor köz
2081;Tó sétány
2081;Vasút utca
2081;Veres Péter utca
2081;Vár utca
2081;Végső utca
2081;Völgy utca
2081;Vörösmarty Mihály utca
2081;Wesselényi utca
2081;Zajnát köz
2081;Zajnáthegyi utca
2081;Zrínyi utca
2081;Álmos vezér utca
2081;Árok utca
2081;Árpád vezér utca
2081;Új utca
2080;Alagút utca
2080;Alsó Vasút sor
2080;Borostyán utca
2080;Bécsi út
2080;Béke utca
2080;Búzavirág utca
2080;Cinege utca
2080;Cseppkő utca
2080;Csévi út
2080;Dombhát utca
2080;Dózsa György utca
2080;Erdőalja utca
2080;Felső Vasút sor
2080;Fenyő utca
2080;Harangvirág út
2080;Harkály utca
2080;Hóvirág utca
2080;Ibolya utca
2080;Irinyi Dániel utca
2080;Jácint köz
2080;Jácint utca
2080;Királyka utca
2080;Kis-Somlyó utca
2080;Kisipar utca
2080;Klapka utca
2080;Kápolna utca
2080;Liliom utca
2080;Margaréta utca
2080;Meredek utca
2080;Mészégető utca
2080;Nagy-Somlyó utca
2080;Nefelejcs utca
2080;Orgona utca
2080;Orom köz
2080;Oskola utca
2080;Ott Zoltán utca
2080;Pilisjászfalu Kálvária
2080;Pipacs utca
2080;Prinner Vilmos sétány
2080;Rigó utca
2080;Rozmaring utca
2080;Rákóczi Ferenc utca
2080;Rózsa utca
2080;Sikló utca
2080;Somlyó-köz
2080;Szent István út
2080;Szivárvány utca
2080;Szélső utca
2080;Tinnyei út
2080;Tulipán utca
2080;Vadrózsa utca
2080;Vadvirág utca
2080;Völgy utca
2080;Zsák utca
2080;Zöldlomb utca
2080;Állomás utca
2080;Árpád vezér útja
2080;Árvalányhaj utca
2084;Ady köz
2084;Akác utca
2084;Akácerdő út
2084;Akácfa utca
2084;Alsórét köz
2084;Alsórét utca
2084;Antónia árok
2084;Bem utca
2084;Borbála utca
2084;Boróka köz
2084;Bánki Donát utca
2084;Bányatelep
2084;Bányász utca
2084;Csille út
2084;Drapál János utca
2084;Dózsa köz
2084;Erdő utca
2084;Erdőalja utca
2084;Erzsébet sor
2084;Fehér-hegyi dűlő
2084;Fenyves utca
2084;Görbe dűlő
2084;Hosszú-árok
2084;Hársfa utca
2084;Inda utca
2084;István akna
2084;Izabella utca
2084;Jóreménység utca
2084;Jószerencsét lakótelep
2084;József Attila utca
2084;Klapka utca
2084;Klotz Miklós köz
2084;Kossuth Lajos utca
2084;Kuczmag utca
2084;Kálvária utca
2084;Köztársaság köz
2084;Lenvirág utca
2084;Magaskő dűlő
2084;Major utca
2084;Meredek utca
2084;Nagyszénás utca
2084;Napközi köz
2084;Nyúl köz
2084;Otelló utca
2084;Petőfi Sándor utca
2084;Rét utca
2084;Sallai utca
2084;Sport tér
2084;Sport utca
2084;Szabadság sor
2084;Szabadság út
2084;Szarvas köz
2084;Szeder köz
2084;Szegfű köz
2084;Szentiváni út
2084;Szénbánya dűlő
2084;Szüret köz
2084;Szüret utca
2084;Szőlő utca
2084;Ságvári telep
2084;Ságvári utca
2084;Templomhegy utca
2084;Templomhegyi lépcső
2084;Táncsics Mihály utca
2084;Táncsics telep
2084;Tópart utca
2084;Tölgyerdő dűlő
2084;Tölgyfa utca
2084;Vörösvári utca
2084;Zengő utca
2084;Zsíroshegyi dűlő
2084;Átkötő út
2084;Óvoda utca
2095;Ady Endre utca
2095;Akácfa utca
2095;Bem József utca
2095;Boldog Özséb utca
2095;Budai utca
2095;Béke utca
2095;Cinke köz
2095;Cinter utca
2095;Csehbánya utca
2095;Csehovnya utca
2095;Csillagösvény
2095;Csobánkai utca
2095;Csóka köz
2095;Diófa lejtő
2095;Diófa utca
2095;Dózsa György utca
2095;Erdősor utca
2095;Farkas utca
2095;Felszabadulás utca
2095;Fogoly utca
2095;Fácán utca
2095;Galagonya utca
2095;Gransperg utca
2095;Hegyalja utca
2095;Hlinki utca
2095;Hársfa utca
2095;Hősök tere
2095;Jókai Mór utca
2095;József Attila utca
2095;Kapusznyica utca
2095;Kopanyica utca
2095;Kossuth Lajos utca
2095;Kökény utca
2095;Körte utca
2095;Mező utca
2095;Muflon utca
2095;Mókus utca
2095;Nadhumni utca
2095;Novoszadek utca
2095;Nyárfa utca
2095;Nyúl utca
2095;Orosdy utca
2095;Pacsirta utca
2095;Paszinki utca
2095;Petőfi Sándor utca
2095;Pintyő köz
2095;Placskó dűlő
2095;Pázsit utca
2095;Rigó utca
2095;Szabadság utca
2095;Szarvas utca
2095;Szontagh Ottó útja
2095;Sztugyenka utca
2095;Szél utca
2095;Szőlő utca
2095;Szőlőkert - Boldog Özséb utca
2095;Tanya utca
2095;Tavasz utca
2095;Trojica utca
2095;Táliki utca
2095;Vaddisznó köz
2095;Vihony köz
