zip;name
7000;Kereszt utca
7000;Kertalja utca
7000;Kinizsi Pál utca
7000;Kis köz
7000;Kis utca
7000;Kisfaludy köz
7000;Kossuth Lajos utca
7000;Kovács köz
7000;Kígyó utca
7000;Lázár utca
7000;Mikes köz
7000;Millennium 2000 utca
7000;MÁV-telep
7000;Mádi köz
7000;Mányoki utca
7000;Mátyás király utca
7000;Mészöly Géza utca
7000;Nagy Lajos utca
7000;Nap utca
7000;Nyíl utca
7000;Németh Lajos köz
7000;Németh-sarok utca
7000;Petőfi Sándor utca
7000;Posta utca
7000;Puha köz
7000;Radnóti Miklós utca
7000;Rákóczi Ferenc utca
7000;Rózsa utca
7000;Salamon utca
7000;Simon köz
7000;Simon utca
7000;Sport utca
7000;Szabadság utca
7000;Szegfű utca
7000;Szent István utca
7000;Százados utca
7000;Szélső utca
7000;Sávoly utca
7000;Sövény utca
7000;Tavasz utca
7000;Temető utca
7000;Templom köz
7000;Tinódi Lantos Sebestyén utca
7000;Tinódi köz
7000;Tompa Mihály utca
7000;Túry Miklós utca
7000;Tüzér utca
7000;Vajer köz
7000;Vak Bottyán utca
7000;Virágrész utca
7000;Virágsarok köz
7000;Virágsarok utca
7000;Vágóhíd utca
7000;Wesselényi Miklós utca
7000;Zrínyi Miklós utca
7000;régi Sóhordó út
7000;Árpád lakótelep utca
7000;Árpád utca
7000;Ó utca
7000;Ősz utca
7003;Akácfa utca
7003;Alapi út
7003;Arany János utca
7003;Bocskai István utca
7003;Béke utca
7003;Csaba utca
7003;Deák Ferenc utca
7003;Egressy Béni utca
7003;Előd vezér utca
7003;Erkel Ferenc utca
7003;Fasor utca
7003;Fehérvári út
7003;Gesztenye sor
7003;Gárdonyi Géza utca
7003;Homoksor utca
7003;Huba utca
7003;Hársfa utca
7003;Ibolya utca
7003;Jókai Mór utca
7003;Kazinczy Ferenc utca
7003;Kölcsey Ferenc utca
7003;Köztársaság utca
7003;Lehel utca
7003;László utca
7003;Magyar utca
7003;Miklós utca
7003;Munkácsy Mihály utca
7003;Nefelejcs utca
7003;Nyárfa utca
7003;Park utca
7003;Rákóczi Ferenc utca
7003;Semmelweis utca
7003;Szabadság utca
7003;Széchenyi István utca
7003;Széchenyi utca
7003;Temető utca
7003;Tisza utca
7003;Táncsics Mihály utca
7003;Vasút utca
7003;Vezér utca
7003;Vörösmarty Mihály utca
7003;Álmos vezér utca
7003;Új utca
7018;Ady Endre utca
7018;Baross János utca
7018;Deák Ferenc utca
7018;Dégi út
7018;Dózsa György utca
7018;Fehérvári utca
7018;Hatvani utca
7018;Kiss utca
7018;Kossuth Lajos utca
7018;Köztársaság tér
7018;Petőfi Sándor utca
7018;Rákóczi Ferenc utca
7018;Széchenyi István utca
7019;Arany János utca
7019;Dózsa utca
7019;József Attila utca
7019;Kossuth Lajos utca
7019;Ország út
7019;Petőfi utca
7014;Ady Endre utca
7014;Aradi utca
7014;Csók István utca
7014;Deák Ferenc utca
7014;Erkel Ferenc utca
7014;Kodály Zoltán utca
7014;Kolozsvári utca
7014;Komáromi utca
7014;Kossuth Lajos utca
7014;Petőfi Sándor utca
7014;Rózsa utca
7014;Szabadság utca
7014;Széchenyi István utca
7014;Zrínyi Miklós utca
8125;498. utca
8125;Ady Endre út
8125;Alkotmány utca
8125;Arany János utca
8125;Bem József utca
8125;Béke utca
8125;Damjanich utca
8125;Dankó út
8125;Diófa utca
8125;Dózsa György út
8125;Farkas Miklós utca
8125;Fő utca
8125;Hősök tere
8125;József Attila utca
8125;Kossuth Lajos utca
8125;Lóki út
8125;Madách utca
8125;Május 1. utca
8125;Nefelejcs utca
8125;Nyárfa utca
8125;Petőfi Sándor utca
8125;Rákóczi út
8125;Rózsa utca
8125;Szabadság utca
8125;Szegfű út
8125;Szent István út
8125;Széchenyi utca
8125;Sárkánytó utca
8125;Vasút utca
8125;Viola utca
8125;Virág utca
8125;Vörösmarty út
8126;Ady Endre utca
8126;Deák Ferenc utca
8126;Dózsa György utca
8126;Erkel Ferenc utca
8126;Imre herceg utca
8126;Jókai Mór utca
8126;József Attila utca
8126;Kossuth Lajos utca
8126;Május 1. utca
8126;Petőfi Sándor utca
8126;Rákóczi utca
8126;Rózsa utca
8126;Szent István utca
8126;Széchenyi utca
8126;Templom utca
8126;Vörösmarty utca
8126;Árpád utca
8126;Új utca
7041;Ady Endre utca
7041;Alapi út
7041;Alkotmány utca
7041;Arany János utca
7041;Dózsa György utca
7041;Fürdő sor
7041;Hévízfürdő utca
7041;József Attila utca
7041;Kertalja utca
7041;Kossuth Lajos utca
7041;Köztársaság utca
7041;Petőfi Sándor utca
7041;Puskin utca
7041;Pálfai út
7041;Radnóti Miklós utca
7041;Rákóczi telep
7041;Szabadság tér
7041;Termál sor
7041;Táncsics Mihály utca
7041;Virág utca
7041;Váci Mihály utca
7041;Árpád utca
7041;Új utca
7041;Újszőlő dűlő
9168;Csornai utca
9168;Fő utca
9168;Kis utca
9168;Kossuth Lajos utca
9168;Petőfi Sándor utca
9168;Rákóczi Ferenc utca
9169;Csornai utca
9169;József Attila utca
9169;Kossuth utca
9169;Maglócai utca
9169;Rákóczi utca
9169;Szabadság utca
9169;Szeder utca
9169;Ságvári utca
9134;Béke köz
9134;Diófa utca
9134;Dózsa György utca
9134;Gerle utca
9134;Gyöngyvirág utca
9134;Hársfa utca
9134;Ibolya utca
9134;Jázmin utca
9134;József Attila utca
9134;Lepke utca
9134;Levendula utca
9134;Nefelejcs utca
9134;Orgona utca
9134;Pacsirta utca
9134;Petőfi Sándor utca
9134;Páva utca
9134;Rigó utca
9134;Rozmaring utca
9134;Rózsa utca
9134;Szabadság utca
9134;Szarvas utca
9134;Tölgyfa utca
9134;Viola utca
9134;Árvácska utca
9324;Arany János utca
9324;Béke utca
9324;Dózsa György utca
9324;Fő utca
9324;József Attila utca
9324;Kossuth Lajos utca
9324;Petőfi utca
9324;Rákóczi Ferenc utca
9324;Szalay Rozália utca
9324;Zrínyi utca
9145;Arany János utca
9145;Bacsó Béla utca
9145;Béke utca
9145;Dr. Csiba József utca
9145;Dózsa utca
9145;Fő utca
9145;Gyóni Géza utca
9145;Gárdonyi utca
9145;Hunyadi utca
9145;József Attila utca
9145;Kossuth utca
9145;Petőfi utca
9145;Rába utca
9145;Rákóczi utca
9145;Szabadság utca
9145;Táncsics utca
9145;Árpád utca
9167;Ady Endre utca
9167;Arany János utca
9167;Dr. Menyes János utca
9167;Dózsa György utca
9167;Gábor Áron utca
9167;Honvéd utca
9167;Hunyadi János utca
9167;Ifjúság utca
9167;Ipar utca
9167;József Attila utca
9167;Kossuth Lajos utca
9167;Köztársaság utca
9167;Levente utca
9167;Liszt Ferenc utca
9167;Malom utca
9167;Petőfi Sándor utca
9167;Rákóczi Ferenc utca
9167;Szent István utca
9167;Szávíz utca
9167;Széchenyi István utca
9167;Táncsics Mihály utca
9167;Vasút utca
9167;Vörösmarty utca
9167;Zrínyi Miklós utca
9167;Árpád utca
9165;Fő utca
9165;Kertalja utca
9168;Kossuth tér
9168;Rákóczi utca
9168;Árpád utca
9300;Adria utca
9300;Ady Endre utca
9300;Akác köz
9300;Andrássy utca
9300;Aradi utca
9300;Arany János utca
9300;Barbacsi utca
9300;Bartók Béla út
9300;Batthyány utca
9300;Bem utca
9300;Bercsényi Miklós utca
9300;Bocskai utca
9300;Botond utca
9300;Béke utca
9300;CarWash
9300;Csaba vezér utca
9300;Damjanich utca
9300;Deák Ferenc utca
9300;Dózsa György utca
9300;Egerfa utca
9300;Erdélyi utca
9300;Erkel Ferenc utca
9300;Erzsébet királyné utca
9300;Esze Tamás utca
9300;Eszperantó út
9300;Eötvös utca
9300;Felsőszeri lakótelep
9300;Fő utca
9300;Gorkij utca
9300;Gyöngyvirág utca
9300;Gárdonyi Géza utca
9300;Gólafa utca
9300;Halász utca
9300;Hegyeshalmi utca
9300;Honvéd utca
9300;Hortobágyi utca
9300;Hunyadi János utca
9300;Hársfa utca
9300;Ifjúsági lakótelep
9300;Ipar tér
9300;Irinyi János utca
9300;Jázmin utca
9300;Jázmin út
9300;Jókai Mór utca
9300;József Attila utca
9300;Kakukk utca
9300;Kastély utca
9300;Kazinczy Ferenc utca
9300;Kinizsi Pál utca
9300;Kisfaludy Károly utca
9300;Kisházasi dűlő
9300;Kismartoni út
9300;Kmetty György utca
9300;Kodály Zoltán utca
9300;Komáromi utca
9300;Kossuth utca
9300;Kárpát utca
9300;Kórház utca
9300;Köztársaság utca
9300;Kőrösi Csoma Sándor utca
9300;Laky Döme utca
9300;Lehel tér
9300;Lehel utca
9300;Liget utca
9300;Liszt Ferenc utca
9300;Malom-föld
9300;Mező utca
9300;Munkácsy Mihály utca
9300;Mártírok tere
9300;Mátyás király utca
9300;Nagyfahanyi utca
9300;Nap utca
9300;Névtelen utca
9300;Orgona utca
9300;Park utca
9300;Patak utca
9300;Petőfi lakótelep
9300;Petőfi utca
9300;Pozsonyi út
9300;Premontrei park
9300;Prépost utca
9300;Pásztori utca
9300;Páva utca
9300;Radnóti Miklós utca
9300;Rét utca
9300;Rózsa utca
9300;Soproni út
9300;Sport utca
9300;Szabadság utca
9300;Szatmári utca
9300;Szeder utca
9300;Szegfű utca
9300;Szent Imre tér
9300;Szent István tér
9300;Sziget utca
9300;Széchenyi István utca
9300;Széchenyi tér
9300;Templom utca
9300;Thököly út
9300;Toldi Miklós utca
9300;Tulipán utca
9300;Táncsics Mihály út
9300;Tátra utca
9300;Uszoda utca
9300;Vadász utca
9300;Vasutas utca
9300;Virág utca
9300;Várnai utca
9300;Wesselényi Miklós utca
9300;Zrínyi Miklós utca
9300;Árpád utca
9300;Új malom utca
9300;Új élet utca
9147;Ady Endre utca
9147;Bajcsy-Zsilinszky utca
9147;Bartók Béla utca
9147;Dózsa György utca
9147;Hunyadi János utca
9147;József Attila utca
9147;Kossuth Lajos utca
9147;Petőfi Sándor utca
9147;Rákóczi Ferenc utca
9147;Szabadság utca
9147;Táncsics Mihály utca
9314;Alsóköz utca
9314;Béke utca
9314;Felsőköz utca
9314;Fő utca
9314;Kis utca
9314;Rózsa utca
9314;Szanyi utca
9314;Szent Imre tér
9314;Temető utca
9314;Vasút utca
9314;Árpási utca
9321;Berzsenyi utca
9321;Diófa utca
9321;Dobó István utca
9321;Erzsébet utca
9321;Fenyőfa utca
9321;Fő utca
9321;Győri út
9321;Hunyadi utca
9321;Munkás utca
9321;Mátyás király utca
9321;Nefelejcs utca
9321;Petőfi Sándor utca
9321;Rákóczi Ferenc utca
9321;Szent István utca
9321;Szent László utca
9321;Szondy utca
9321;Vadvirág utca
9321;Vasút utca
9321;Várdomb utca
9321;Vörösmarty utca
9321;Árpád utca
9323;Ady Endre utca
9323;József Attila utca
9323;Kossuth Lajos utca
9323;Petőfi Sándor utca
9323;Petőfi utca
9323;Vasút utca
9144;Alkotmány utca
9144;Arany János utca
9144;Béke utca
9144;Deák utca
9144;Dózsa György utca
9144;Felszabadulás utca
9144;Győri utca
9144;Gárdonyi utca
9144;Honvéd utca
9144;Hunyadi utca
9144;Jedlik Ányos utca
9144;Jókai utca
9144;József Attila utca
9144;Kazinczy utca
9144;Kisfaludy Károly utca
9144;Kossuth utca
9144;Kölcsey utca
9144;Köztársaság utca
9144;Liszt Ferenc utca
9144;Mátyás király utca
9144;Petőfi utca
9144;Rákóczi utca
9144;Soproni utca
9144;Széchenyi utca
9144;Táncsics utca
9144;Tűzoltó sor
9144;Vasvári Pál utca
9144;Vörösmarty utca
9144;Zrínyi utca
9144;Árpád utca
9144;Új élet utca
9169;Arany János utca
9169;Kossuth utca
9169;Petőfi utca
9169;Széchenyi utca
9169;Újtelep utca
9346;Ady Endre utca
9346;Baross Gábor utca
9346;Deák Ferenc utca
9346;Eötvös József utca
9346;Hunyadi János utca
9346;Iskola köz
9346;Kinizsi Pál utca
9346;Kossuth Lajos utca
9346;Mátyás király utca
9346;Petőfi Sándor utca
9346;Rákóczi Ferenc utca
9346;Szabadság utca
9346;Széchenyi István utca
9346;Árpád utca
9164;Fő utca
9164;Kis utca
9164;Kossuth utca
9164;Közkapu utca
9164;Petőfi utca
9164;Rákóczi utca
9164;Sport utca
9164;Széchenyi utca
9324;Kossuth Lajos utca
9324;Szabadság utca
9345;Ady Endre utca
9345;Arany János utca
9345;Béke tér
9345;Kossuth Lajos utca
9345;Műgát
9345;Petőfi Sándor utca
9345;Vasút utca
9345;Árpád utca
9311;Alsó utca
9311;Felső utca
9311;Kossuth utca
9311;Petőfi utca
9313;Arany János utca
9313;Batthyány utca
9313;Béke utca
9313;Deák Ferenc utca
9313;Erzsébet utca
9313;Hunyadi utca
9313;Kossuth utca
9313;Petőfi utca
9313;Rákóczi utca
9313;Széchenyi utca
9313;Vasút utca
9313;Vörösmarty utca
9313;Árpád utca
9146;Ady Endre utca
9146;Arany János utca
9146;Béke utca
9146;Dózsa György utca
9146;Gévay-Wolff Lajos utca
9146;Hársfa utca
9146;József Attila utca
9146;Kossuth Lajos utca
9146;Köztársaság utca
9146;Petőfi Sándor utca
9146;Rákóczi Ferenc utca
9146;Szabadság út
9146;Szent István utca
9146;Széchenyi István utca
9146;Zrínyi Miklós utca
9327;Fő utca
9327;Kossuth Lajos utca
9327;Petőfi utca
9327;Szabadság utca
9327;Széchenyi utca
9316;Godina utca
9316;Hátsó utca
9316;Kiss János utca
9316;Kossuth Lajos utca
9316;Liliom utca
9316;Petőfi Sándor utca
9316;Rákóczi Ferenc utca
9316;Széchenyi utca
9316;Török István utca
9316;Vasút utca
9322;Ady Endre utca
9322;Béke utca
9322;Dózsa utca
9322;József Attila utca
9322;Kossuth Lajos utca
9322;Rákóczi utca
9322;Somogyi Béla utca
9322;Szabadság utca
9322;Szent István utca
9322;Széchenyi utca
9322;Táncsics utca
9165;Fő utca
9165;Kertalja utca
9165;Kossuth Lajos utca
9315;Andrási utca
9315;Béke utca
9315;Egyedi út
9315;Jókai utca
9315;Kis utca
9315;Kossuth utca
9315;Patyi Sándor utca
9315;Petőfi utca
9315;Rábaszentandrási út
9325;Almáskerti sétány
9325;Hunyadi utca
9325;Jókai utca
9325;Kossuth utca
9325;Petőfi utca
9325;Rákóczi utca
9325;Vasút utca
9325;Árpád utca
9317;Ady Endre utca
9317;Bajcsy-Zsilinszky utca
9317;Bartók Béla utca
9317;Bocskai István utca
9317;Béke utca
9317;Damjanich utca
9317;Dózsa utca
9317;Hunyadi utca
9317;Ifjúság utca
9317;Jókai utca
9317;József Attila utca
9317;Kis utca
9317;Kisút
9317;Kodály Zoltán utca
9317;Kossuth Lajos utca
9317;Petőfi Sándor utca
9317;Radnóti Miklós utca
9317;Rákóczi Ferenc utca
9317;Szabadság utca
9317;Szentháromság utca
9317;Széchenyi út
9317;Táncsics Mihály utca
9317;Vasút utca
9326;Ady Endre utca
9326;Béke utca
9326;Dózsa György út
9326;Erdősor utca
9326;Erzsébet tér
9326;Erzsébet utca
9326;Esze Tamás utca
9326;Fő utca
9326;Hunyadi tér
9326;József Attila utca
9326;Petőfi Sándor utca
9326;Szabadság utca
9326;Táncsics Mihály utca
9326;Város utca
9326;Árpád utca
9312;Béke utca
9312;Dózsa György utca
9312;Fő utca
9312;Kiss Ferenc utca
9312;Kossuth Lajos utca
9312;Rákóczi utca
9312;Szabadság utca
9312;Templom köz
9165;Fő utca
9165;Új utca
9327;Ady tér
9327;Béke utca
9327;Gyöp utca
9327;Kisvág utca
9327;Kossuth Lajos utca
9327;Nagy utca
9327;Petőfi utca
9327;Rába utca
9327;Szabadság utca
9327;Templom utca
9327;Vág József utca
9327;Wathay tér
9327;Zöldfa utca
9346;Béke utca
9346;Kossuth utca
9346;Petőfi utca
9151;Akác utca
9151;Arany János utca
9151;Bécsi utca
9151;Börcsi út
9151;Diófa utca
9151;Duna utca
9151;Dózsa György utca
9151;Honvéd utca
9151;Hulesch Ernő utca
9151;Hunyadi utca
9151;Hársfa utca
9151;Híd utca
9151;Ifjúság utca
9151;Ipar út
9151;József Attila utca
9151;Kistöltés utca
9151;Kossuth Lajos utca
9151;Kunszigeti út
9151;Malom utca
9151;Pagony utca
9151;Petőfi Sándor utca
9151;Pillingér puszta
9151;Pillingér utca
9151;Radnóti Miklós lakótelep
9151;Rákóczi Ferenc utca
9151;Soproni utca
9151;Szent Imre utca
9151;Szent István utca
9151;Vasút utca
9151;Vámház utca
9151;Zöldmező utca
9151;Árpád utca
9162;Arany János utca
9162;Fűzfa utca
9162;Külső Petőfi utca
9162;Nefelejcs utca
9162;Petőfi utca
9162;Rákóczi utca
9162;Szabadság utca
9162;Szarka köz
9152;Ady Endre utca
9152;Akác utca
9152;Dózsa György utca
9152;Erzsébet tér
9152;Fő utca
9152;Hétház köz
9152;Jókai Mór utca
9152;Kenderföldi utca
9152;Kerektói utca
9152;Kisut utca
9152;Kossuth Lajos utca
9152;Petőfi utca
9152;Rábca sor
9152;Rákóczi Ferenc utca
9152;Sport utca
9152;Szabadság utca
9152;Sárdosi utca
9152;Töltés utca
9073;Ady Endre utca
9073;Akácos utca
9073;Alkotmány utca
9073;Arany János utca
9073;Belső út
9073;Borókás köz
9073;Béke utca
9073;Diófa köz
9073;Dózsa utca
9073;Erdő köz
9073;Farm utca
9073;Fenyő köz
9073;Fácán köz
9073;Fényes utca
9073;Gagarin utca
9073;József Attila utca
9073;Kismeredek
9073;Kodály Zoltán utca
9073;Kossuth Lajos utca
9073;Magyar utca
9073;Móra Ferenc utca
